istart,istop,cstart,cstop,tstart,tstop,ed_rec,ed_rec_err,ampl_rec,dur,total_n_valid_data_points,ID,qcs,mission,tstamp,dur_detrend,lc_n
14706,14718,676735,676747,2167.3695018872913,2167.386168142034,7.003714634646638,0.4045760074717148,0.009548228739065134,0.01666625474263128,16523.0,LTT 1445 A,31,TESS,04_02_2021_12_48_32,6.725287000000208,1
,,,,,,,,,,16619,KPS-1,21,TESS,04_02_2021_12_48_51,2.8487390000000232,0
8392,8403,101640,101651,1368.6257291893112,1368.6410072040899,2.4917693072769844,0.22635316886333473,0.0027684689671954033,0.015278014778687066,16697.0,WASP-18,2,TESS,04_02_2021_12_49_16,4.760952999999972,0
,,,,,,,,,,12238,WASP-18,3,TESS,04_02_2021_12_49_36,3.5320730000003095,0
,,,,,,,,,,86088,WASP-18,29,TESS,04_02_2021_12_50_59,56.5108809999997,0
,,,,,,,,,,13074,WASP-18,29,TESS,04_02_2021_12_51_04,3.3014929999999367,1
,,,,,,,,,,93265,WASP-18,30,TESS,04_02_2021_12_52_25,63.25712500000009,0
,,,,,,,,,,15043,WASP-18,30,TESS,04_02_2021_12_52_30,3.2572950000003402,1
68905,68908,3570714,3570717,2054.0137984527382,2054.014492893604,7.513184513108684,0.19552566210367803,0.2348192222232004,0.0006944408655726875,94594.0,WASP-88,27,TESS,04_02_2021_12_53_38,53.39249599999994,0
,,,,,,,,,,15764,WASP-88,27,TESS,04_02_2021_12_53_42,2.348501999999826,1
,,,,,,,,,,16844,HAT-P-14,25,TESS,04_02_2021_12_54_01,3.0717460000000756,0
,,,,,,,,,,16605,HAT-P-14,26,TESS,04_02_2021_12_54_20,2.6287420000003294,0
,,,,,,,,,,15616,GJ 1132,9,TESS,04_02_2021_12_54_39,2.2425969999999325,0
8318,8323,257978,257983,1585.761463441288,1585.7684077582157,6.663345275822555,0.5438453035866426,0.01677486915302273,0.006944316927729233,15290.0,GJ 1132,10,TESS,04_02_2021_12_55_04,5.070231000000149,0
,,,,,,,,,,17968,TOI-1235,14,TESS,04_02_2021_12_55_26,2.614281000000119,0
,,,,,,,,,,17284,TOI-1235,20,TESS,04_02_2021_12_55_46,2.5554379999998673,0
,,,,,,,,,,14950,WASP-167,10,TESS,04_02_2021_13_04_20,1.8701690000000006,0
,,,,,,,,,,13339,WASP-15,11,TESS,04_02_2021_13_04_41,2.0595169999999996,0
,,,,,,,,,,84736,WASP-147,29,TESS,04_02_2021_13_05_17,55.157673,0
,,,,,,,,,,13603,WASP-147,29,TESS,04_02_2021_13_06_01,2.175257000000002,1
,,,,,,,,,,86270,WASP-190,29,TESS,04_02_2021_13_06_38,47.30437099999999,0
