"TIC","ID","mission","quarter_or_sector","tstart","tstop","rel_amplitude","ED","ED_err","orbital_phase","timestamp"
63126862,"Kepler-42","Kepler",13,1219.43783116605,1219.44055587489,0.008407475906163,1.63500148667285,0.209035164882607,0.890842683277865,"2022_08_02"
63126862,"Kepler-42","Kepler",17,,,,,,-1,"2022_08_02"
63126862,"Kepler-42","Kepler",14,1368.62211698871,1368.62416023912,0.010882742961521,1.50726172175602,0.196220642586994,0.008850563630657,"2022_08_02"
63126862,"Kepler-42","Kepler",16,,,,,,-1,"2022_08_02"
63126862,"Kepler-42","Kepler",9,875.91412214197,875.928426111939,0.083367342591737,19.7838856197846,0.353549902939427,0.037305025383348,"2022_08_11"
63126862,"Kepler-42","Kepler",12,,,,,,-1,"2022_08_02"
63126862,"Kepler-42","Kepler",12,,,,,,-1,"2022_08_02"
63126862,"Kepler-42","Kepler",10,,,,,,-1,"2022_08_02"
63126862,"Kepler-42","TESS",40,,,,,,-1,"2022_08_02"
63126862,"Kepler-42","TESS",14,,,,,,-1,"2022_08_02"
63126862,"Kepler-42","TESS",15,,,,,,-1,"2022_08_02"
63126862,"Kepler-42","Kepler",9,,,,,,-1,"2022_08_11"
63126862,"Kepler-42","TESS",41,,,,,,-1,"2022_08_02"
63126862,"Kepler-42","Kepler",13,,,,,,-1,"2022_08_02"
63126862,"Kepler-42","Kepler",14,,,,,,-1,"2022_08_02"
63126862,"Kepler-42","Kepler",16,,,,,,-1,"2022_08_02"
