tstamp,period,sector,subsample,D+,p+,D-,p-,D,p,nflares,totobs_days,phaseshift
2021-11-10,Beat Period,Sector 1,low energy half,0.03497949148441,0.892978101183671,0.160743146152674,0.132759062945372,0.160743146152674,0.264973256036956,37,25.1305555555556,0
2021-11-10,Beat Period,Sector 1,low energy half,2.22044604925031E-16,1,0.195722637637084,0.051117040027075,0.195722637637084,0.102224027202692,37,25.1305555555556,0.1
2021-11-10,Beat Period,Sector 1,low energy half,0.0215018267964,0.953752881970084,0.174220810840685,0.09397855337208,0.174220810840685,0.187827484936527,37,25.1305555555556,0.2
2021-11-10,Beat Period,Sector 1,low energy half,0.091811829514936,0.505425405396375,0.103910808122149,0.420885468804472,0.103910808122149,0.781055333114556,37,25.1305555555556,0.3
2021-11-10,Beat Period,Sector 1,low energy half,0.126638963490959,0.281273836981999,0.069083674146126,0.67208059494695,0.126638963490959,0.550631129071189,37,25.1305555555556,0.4
2021-11-10,Beat Period,Sector 1,low energy half,0.132332951941662,0.251190304003286,0.063389685695422,0.713301972919955,0.132332951941662,0.494869063205338,37,25.1305555555556,0.5
2021-11-10,Beat Period,Sector 1,low energy half,0.113878275313005,0.356075126269927,0.081844362324079,0.578156323623411,0.113878275313005,0.681127829781625,37,25.1305555555556,0.6
2021-11-10,Beat Period,Sector 1,low energy half,0.083984835946812,0.562417099133211,0.111737801690272,0.369559167116442,0.111737801690272,0.703077817229771,37,25.1305555555556,0.7
2021-11-10,Beat Period,Sector 1,low energy half,0.105878012421618,0.407704885084846,0.089844625215466,0.519630362162741,0.105878012421618,0.761939826390227,37,25.1305555555556,0.8
2021-11-10,Beat Period,Sector 1,low energy half,0.054263172202821,0.776418961484319,0.141459465434264,0.207408468987791,0.141459465434264,0.411388367883023,37,25.1305555555556,0.9
2021-11-10,Beat Period,Sector 27,low energy half,0,1,0.108132417015703,0.139991327827962,0.108132417015703,0.279256098000401,81,23.3185185185185,0
2021-11-10,Beat Period,Sector 27,low energy half,0.05408698154423,0.601121227048391,0.054045435471473,0.601574930935352,0.05408698154423,0.961510046706087,81,23.3185185185185,0.1
2021-11-10,Beat Period,Sector 27,low energy half,0.008290218559305,0.983952391926754,0.099842198456398,0.186242604043017,0.099842198456398,0.370173161034187,81,23.3185185185185,0.2
2021-11-10,Beat Period,Sector 27,low energy half,0.041094213257094,0.740604898943082,0.067038203758608,0.462336811049617,0.067038203758608,0.835827423052875,81,23.3185185185185,0.3
2021-11-10,Beat Period,Sector 27,low energy half,0.095786738003357,0.212404903126941,0.012345679012346,0.96705256108069,0.095786738003357,0.420874181180711,81,23.3185185185185,0.4
2021-11-10,Beat Period,Sector 27,low energy half,0.039977126374574,0.752093728201119,0.068155290641128,0.450833853970181,0.068155290641128,0.821182355826461,81,23.3185185185185,0.5
2021-11-10,Beat Period,Sector 27,low energy half,0.054485774820776,0.596766612425162,0.053646642194927,0.605930189782988,0.054485774820776,0.959061958104569,81,23.3185185185185,0.6
2021-11-10,Beat Period,Sector 27,low energy half,0.016180418294194,0.948367630836297,0.091951998721509,0.23932783020882,0.091951998721509,0.472280822016134,81,23.3185185185185,0.7
2021-11-10,Beat Period,Sector 27,low energy half,0.07898974657631,0.345733423766093,0.029142670439393,0.855061859012131,0.07898974657631,0.663446008881109,81,23.3185185185185,0.8
2021-11-10,Beat Period,Sector 27,low energy half,0.055223922302226,0.588709501967947,0.052908494713477,0.613991538570546,0.055223922302226,0.954280467065512,81,23.3185185185185,0.9
2021-11-10,Orbit,Both Sectors,total,0.04761891943087,0.411350633348643,0.083947541365287,0.065813189072556,0.083947541365287,0.131590456075173,189,48.4490740740741,0
2021-11-10,Orbit,Both Sectors,total,0.024502645423968,0.784244826563491,0.107063815372189,0.012149669043294,0.107063815372189,0.024299608266984,189,48.4490740740741,0.1
2021-11-10,Orbit,Both Sectors,total,0.050277543819956,0.372150940859408,0.0812889169762,0.077864416857813,0.0812889169762,0.155658032895145,189,48.4490740740741,0.2
2021-11-10,Orbit,Both Sectors,total,0.124685452698027,0.002545202125362,0.006881008098129,0.977805938936946,0.124685452698027,0.005090404250723,189,48.4490740740741,0.3
2021-11-10,Orbit,Both Sectors,total,0.077809051081065,0.096247343056029,0.053757409715092,0.323799624780672,0.077809051081065,0.192328420289867,189,48.4490740740741,0.4
2021-11-10,Orbit,Both Sectors,total,0.060480523372669,0.241105257220485,0.071085937423488,0.141218344179131,0.071085937423488,0.281658998176228,189,48.4490740740741,0.5
2021-11-10,Orbit,Both Sectors,total,0.027626231903154,0.735936081924952,0.103940228893003,0.015634625796044,0.103940228893003,0.031269459891686,189,48.4490740740741,0.6
2021-11-10,Orbit,Both Sectors,total,0.033183501281229,0.645351576059045,0.098382959514928,0.024039095400751,0.098382959514928,0.04807786358678,189,48.4490740740741,0.7
2021-11-10,Orbit,Both Sectors,total,0.015523247034739,0.903633618668845,0.116043213761419,0.005644273107104,0.116043213761419,0.011288546214208,189,48.4490740740741,0.8
2021-11-10,Orbit,Both Sectors,total,0.032015614501934,0.664700600647581,0.099550846294223,0.022004269501871,0.099550846294223,0.044008407495233,189,48.4490740740741,0.9
